2PA,3P,AST,Age,BLK,Draft Placing,MP,PF,PTS,STL,TOV,TRB,US or EU,eFG%
10.2,1.5,1.2,24,1.4,1.0,35.0,2.7,17.2,0.3,1.5,6.2,EU,52.3
14.4,1.2,1.8,25,0.7,1.0,35.7,2.4,21.4,0.5,2.3,5.2,EU,48.0
11.9,1.1,2.0,26,0.5,1.0,33.3,1.7,19.5,0.6,2.2,5.5,EU,46.7
8.7,1.1,1.1,27,0.7,1.0,28.7,1.8,12.7,0.6,1.5,3.7,EU,44.4
9.4,0.7,1.1,28,1.2,1.0,29.9,2.4,13.3,0.3,1.4,5.3,EU,47.2
11.0,0.5,1.6,29,0.9,1.0,27.1,1.8,14.8,0.1,1.4,4.4,EU,47.5
5.7,0.1,0.4,30,0.2,1.0,13.8,1.3,6.6,0.1,0.6,2.1,EU,46.1
2.0,0.0,0.0,24,0.0,,5.6,1.3,1.6,0.0,0.6,1.3,US,31.3
2.9,0.0,0.2,25,0.1,,7.3,0.8,2.3,0.2,0.4,1.5,US,28.9
6.8,0.0,0.6,26,0.2,,19.3,2.5,7.1,0.4,1.0,4.3,US,40.5
9.7,0.0,1.1,28,0.6,,33.1,3.4,11.7,0.6,1.6,11.0,US,44.1
4.7,0.0,0.5,29,0.3,,14.5,2.2,3.8,0.4,0.8,3.6,US,32.3
4.3,0.0,0.3,29,0.3,,15.3,2.7,3.0,0.5,0.9,3.3,US,23.5
5.3,0.0,0.6,29,0.3,,12.1,1.4,5.1,0.3,0.3,3.1,US,45.9
5.5,0.0,1.5,29,0.0,,18.5,2.0,3.5,0.0,1.5,7.0,US,27.3
2.0,0.0,0.0,30,0.0,,4.5,2.5,2.0,0.0,0.0,0.5,US,50.0
4.3,0.0,0.4,31,0.5,,13.3,2.0,3.3,0.4,0.9,5.1,US,35.3
3.4,0.0,0.3,31,0.5,,11.1,2.1,2.5,0.5,0.9,3.9,US,35.1
14.0,0.0,2.0,31,1.0,,37.0,1.0,11.0,0.0,1.0,18.0,US,35.7
2.2,0.1,0.3,33,0.1,,8.9,1.6,2.0,0.3,0.3,1.8,US,33.300000000000004
7.9,0.0,0.9,21,1.1,5.0,23.2,3.1,8.4,0.8,1.5,5.4,US,44.9
5.6,0.0,1.1,22,1.4,5.0,22.4,3.2,6.7,0.6,0.9,6.0,US,51.9
5.5,0.0,0.8,23,0.9,5.0,18.4,3.0,6.6,0.6,0.8,5.0,US,47.8
5.0,0.0,0.4,24,1.5,5.0,21.1,3.2,6.5,0.7,0.9,5.8,US,53.7
5.2,0.0,0.5,25,0.9,5.0,24.6,3.0,6.9,0.8,0.7,6.5,US,54.1
5.4,0.0,0.7,26,1.2,5.0,25.1,2.9,7.3,0.5,0.7,6.5,US,54.1
5.1,0.0,0.8,27,0.9,5.0,20.2,2.2,5.6,0.4,0.9,4.9,US,44.5
5.0,0.0,0.9,27,0.9,5.0,21.8,2.4,5.9,0.3,1.0,5.1,US,48.3
5.2,0.0,0.7,27,0.9,5.0,19.5,2.1,5.4,0.4,0.8,4.8,US,42.9
4.3,0.0,0.5,28,1.0,5.0,23.4,3.0,4.9,0.4,1.0,5.6,US,46.0
6.7,0.0,0.6,29,0.8,5.0,27.0,3.0,7.9,0.6,1.1,5.6,US,50.7
5.4,0.0,0.5,30,0.5,5.0,23.9,2.8,6.1,0.4,0.9,5.2,US,48.9
4.1,0.0,0.4,32,0.3,5.0,15.6,1.5,4.8,0.3,0.6,3.6,US,49.20000000000001
2.4,0.1,0.2,33,0.1,5.0,8.9,1.3,2.4,0.3,0.2,1.5,US,36.3
2.4,0.1,0.3,34,0.4,5.0,9.9,1.6,2.6,0.1,0.3,2.6,US,47.9
1.9,0.0,0.6,35,0.2,5.0,10.9,1.0,1.6,0.1,0.1,2.5,US,37.3
3.5,0.0,0.5,26,0.2,62.0,10.3,1.0,3.3,0.3,0.5,2.2,US,44.5
2.5,0.0,0.8,27,0.8,62.0,7.8,1.3,2.5,0.0,1.0,1.0,US,50.0
7.1,0.0,1.1,23,0.7,6.0,19.6,2.5,6.7,0.4,1.7,4.9,US,39.7
2.7,0.0,0.1,24,0.4,6.0,7.8,1.2,2.7,0.2,0.5,1.7,US,43.6
2.8,0.0,0.1,26,0.4,6.0,5.9,0.9,2.8,0.1,0.5,1.4,US,43.6
3.8,0.1,0.5,27,0.6,6.0,9.4,1.3,4.5,0.0,0.5,2.2,US,44.8
3.8,0.0,0.4,28,0.6,6.0,11.3,1.8,3.6,0.2,0.5,2.0,US,41.3
1.6,0.1,0.0,29,0.1,6.0,4.1,0.9,1.6,0.0,0.1,0.6,US,35.2
8.3,0.0,1.0,21,2.6,3.0,26.4,3.6,11.1,0.8,1.8,7.6,US,49.1
9.9,0.0,1.9,22,2.6,3.0,31.0,3.5,11.5,0.8,2.6,8.1,US,44.9
10.4,0.0,2.6,23,3.4,3.0,32.9,3.1,13.0,0.8,3.4,8.0,US,49.1
11.5,0.0,2.0,24,2.8,3.0,32.7,2.8,16.4,0.7,3.0,8.8,US,54.1
9.7,0.0,2.2,25,2.6,3.0,32.6,3.1,13.5,0.8,2.6,9.3,US,52.6
11.1,0.0,1.7,26,2.1,3.0,31.9,2.6,14.0,0.8,3.4,10.3,US,49.6
11.9,0.0,1.9,26,2.3,3.0,34.3,2.8,14.9,0.7,3.5,12.0,US,49.20000000000001
10.1,0.0,1.5,26,1.7,3.0,29.0,2.4,12.9,0.9,3.1,8.2,US,50.2
11.7,0.0,1.2,27,1.9,3.0,30.8,2.9,14.0,0.6,2.8,8.1,US,47.8
4.6,0.0,0.4,28,0.8,3.0,12.8,2.3,5.7,0.5,1.3,3.5,US,49.1
5.3,0.0,0.4,28,1.1,3.0,14.5,2.4,6.7,0.5,1.4,3.6,US,49.70000000000001
3.9,0.0,0.4,28,0.5,3.0,10.9,2.2,4.5,0.5,1.3,3.4,US,48.1
7.6,0.0,0.6,29,1.2,3.0,23.6,2.6,9.3,0.5,1.3,6.5,US,48.0
8.7,0.0,0.6,30,1.0,3.0,26.2,2.5,11.1,0.4,2.0,7.2,US,51.0
7.1,0.0,0.8,31,1.0,3.0,22.8,2.7,8.8,0.5,1.7,6.5,US,49.8
12.4,0.0,1.2,31,1.2,3.0,31.1,3.1,13.9,0.8,2.6,7.9,US,44.1
